frame_id,action,gaze_mean,gaze_start,gaze_end,gaze_variance0,gaze_component0,gaze_variance1,gaze_component1
RZ_5037271_4,0,"[121.63199999999995, 71.26759999999999]","[121.71, 70.9]","[121.62, 71.3]",0.03588285416786617,"[0.29259381909635307, -0.9562368205766868]",0.00395208460764378,"[-0.9562368205766868, -0.29259381909635307]"
RZ_5037271_5,0,"[121.51607843137252, 71.19333333333334]","[121.64, 71.35]","[121.45, 71.17]",0.029143713334953046,"[-0.13066806163070968, -0.9914261735851403]",0.004015267057203975,"[0.9914261735851403, -0.13066806163070968]"
RZ_5037271_6,0,"[121.37160000000002, 71.23140000000001]","[121.5, 71.12]","[121.21, 71.35]",0.07098043844785479,"[-0.13137677861987765, 0.9913325083136654]",0.008502704409288063,"[0.9913325083136654, 0.13137677861987765]"
RZ_5037271_7,0,"[121.33439999999999, 70.77199999999999]","[121.26, 71.35]","[121.28, 70.6]",0.04739076243666948,"[-0.10360327724892186, 0.9946187012837046]",0.00870376817557539,"[-0.9946187012837046, -0.10360327724892186]"
RZ_5037271_8,0,"[121.22420000000002, 71.00439999999999]","[121.28, 70.6]","[121.25, 71.1]",0.054097488198188194,"[0.1058567028814862, -0.994381394865703]",0.008666797516097873,"[-0.994381394865703, -0.1058567028814862]"
RZ_5037271_9,0,"[121.12333333333333, 71.23588235294118]","[121.24, 71.17]","[121.03, 71.35]",0.02800230635302412,"[-0.07359568879163551, -0.9972881602582502]",0.004813066195995327,"[0.9972881602582502, -0.07359568879163551]"
RZ_5037271_10,0,"[121.0272, 70.621]","[121.03, 71.4]","[121.09, 70.1]",0.10661515897497574,"[-0.0043037529897586545, 0.999990738812217]",0.004377861433187789,"[-0.999990738812217, -0.0043037529897586545]"
RZ_5037271_11,0,"[120.847, 70.71400000000001]","[121.08, 70.12]","[120.69, 70.78]",0.16114924605877515,"[-0.3842021710282585, 0.9232489868812059]",0.006480345777958582,"[0.9232489868812059, 0.3842021710282585]"
RZ_5037271_12,0,"[120.47081632653058, 70.87326530612242]","[120.72, 70.65]","[116.12, 70.7]",0.8936519223303999,"[-0.9959377549148013, -0.09004436870379544]",0.04899901304374794,"[-0.09004436870379544, 0.9959377549148013]"
RZ_5037271_13,0,"[73.72300000000001, 69.18740000000001]","[115.06, 70.75]","[41.76, 63.5]",553.7791902792848,"[0.9950244011963022, 0.09963152625519937]",1.0507773125519562,"[0.09963152625519937, -0.9950244011963022]"
RZ_5037271_14,0,"[37.600392156862746, 61.100392156862746]","[40.88, 63.05]","[38.06, 61.2]",0.8621546717821196,"[0.875676795677607, 0.4828976594598474]",0.24319701449239073,"[-0.4828976594598474, 0.875676795677607]"
RZ_5037271_15,0,"[38.26020000000001, 62.057999999999986]","[38.06, 61.08]","[38.61, 62.3]",0.22498546885390855,"[-0.18789393865452356, -0.9821893238153682]",0.00815938828894825,"[0.9821893238153682, -0.18789393865452356]"
RZ_5037271_16,0,"[38.24139999999998, 62.8278]","[38.61, 62.5]","[38.12, 62.88]",0.027591779336218952,"[0.5326327933228306, -0.8463464464846053]",0.006058424745413555,"[0.8463464464846053, 0.5326327933228306]"
RZ_5037271_17,0,"[37.941400000000016, 62.9108]","[38.19, 62.73]","[37.71, 62.98]",0.029533805033863953,"[-0.02949211255082702, -0.9995650130418178]",0.015726807211034095,"[-0.9995650130418178, 0.02949211255082702]"
